# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Neg NT","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","6000.0","true","3","49"
"1","A1","false","Neg NT","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","18310.99923149687","true","3","49"
"2","A2","false","Neg DC","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","6000.0","true","3","49"
"2","A2","false","Neg DC","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","18310.99923149687","true","3","49"
"3","A3","false","buffer only","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","6000.0","true","3","49"
"3","A3","false","buffer only","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","18310.99923149687","true","3","49"
"4","A4","false","Neg NT","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.737075805753241","","","24.633346667827304","0.9785967231696889","24.396551999249432","0.3348782318007296","false","30000.0","true","3","16"
"5","A5","false","Neg DC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7271857248341864","","","22.21676857456947","0.9811736849700441","22.619195019999268","0.4205307116047786","false","30000.0","true","3","15"
"6","A6","false","buffer only","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.363715121035669","","","40.08371041620165","0.9141713173112965","38.44016525622584","2.3243238556102876","false","30000.0","true","3","30"
"8","A8","false","PCD 4","IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","6000.0","true","3","49"
