# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"1","A1","Neg NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","31.232310758267896","Negative","Undetermined",,"false"
"1","A1","Neg NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-181.94610748149887","Negative","Undetermined",,"false"
"2","A2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","8.578826029139748","Negative","Undetermined",,"false"
"2","A2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-331.4977306891778","Negative","Undetermined",,"false"
"3","A3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","87.43281412609853","Negative","Undetermined",,"false"
"3","A3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-352.34837534690513","Negative","Undetermined",,"false"
"4","A4","Neg NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.633346667827304","24.396551999249432","0.9785967231696889","0.3348782318007296","false","30000.0","true","3","16","635340.4898523352","Positive","Positive",,"false"
"5","A5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.21676857456947","22.619195019999268","0.9811736849700441","0.4205307116047786","false","30000.0","true","3","15","637529.5781679258","Positive","Positive",,"false"
"6","A6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","40.08371041620165","38.44016525622584","0.9141713173112965","2.3243238556102876","false","30000.0","true","3","30","98181.03764068487","Negative","Negative",,"false"
"8","A8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-816.9635713279081","Negative","Undetermined",,"false"
"8","A8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","35.8382526114099","35.202435798031985","0.9084473810232327","0.7391718274805431","false","18310.99923149687","true","3","26","112469.78890964674","Negative","Undetermined",,"false"
"13","B1","Neg NT",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-33.93980092940565","Negative","Undetermined",,"false"
"13","B1","Neg NT",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-464.44335395467044","Negative","Undetermined",,"false"
"14","B2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-0.7682330813483098","Negative","Undetermined",,"false"
"14","B2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-515.947328862165","Negative","Undetermined",,"false"
"15","B3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","155.32257006677844","Negative","Undetermined",,"false"
"15","B3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-481.84549173219114","Negative","Undetermined",,"false"
"16","B4","Neg NT",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","24.15975733067156","24.396551999249432","0.9782543554999636","0.3348782318007296","false","30000.0","true","3","17","681321.3121279761","Positive","Positive",,"false"
"17","B5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.05575011407757","22.619195019999268","0.9830763113847706","0.4205307116047786","false","30000.0","true","3","15","605798.5478193681","Positive","Positive",,"false"
"18","B6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","36.796620096250024","38.44016525622584","0.9826305024500473","2.3243238556102876","false","30000.0","true","3","29","408058.77852818475","Negative","Negative",,"false"
"20","B8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-611.0319230241095","Negative","Undetermined",,"false"
"20","B8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","35.37765792721615","35.202435798031985","0.9092414162071338","0.7391718274805431","false","18310.99923149687","true","3","26","117577.08471920289","Negative","Undetermined",,"false"
"25","C1","Neg MM",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","189.9365920949931","Negative","Undetermined",,"false"
"25","C1","Neg MM",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-873.7284921369137","Negative","Undetermined",,"false"
"26","C2","Neg DC",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-24.98420019440912","Negative","Undetermined",,"false"
"26","C2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-536.0285831984276","Negative","Undetermined",,"false"
"27","C3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-55.045289553943114","Negative","Undetermined",,"false"
"27","C3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","18310.99923149687","true","3","49","-508.12868582331225","Negative","Undetermined",,"false"
"28","C4","Neg MM",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.361448789164974","23.066162285132553","0.9843752193256956","0.41759817878835326","false","30000.0","true","3","17","678369.5465029762","Positive","Positive",,"false"
"29","C5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.58506637135077","22.619195019999268","0.9842827657774497","0.4205307116047786","false","30000.0","true","3","16","628283.4465315935","Positive","Positive",,"false"
"30","C6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-405.04754712072446","Negative","Negative",,"false"
"32","C8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-494.24852567067535","Negative","Undetermined",,"false"
"32","C8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","34.39139685546991","35.202435798031985","0.9188857167845123","0.7391718274805431","false","18310.99923149687","true","3","25","124727.07185647234","Positive","Undetermined",,"false"
"37","D1","Neg MM",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","6000.0","true","3","49","-133.5592342521392","Negative","Undetermined",,"false"
