# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"1","A1","1","-2091.1377","111464.1"
"1","A1","2","-1592.2803","105427.68"
"1","A1","3","-1518.416","106086.11"
"1","A1","4","-1634.3438","106568.914"
"1","A1","5","-1937.5146","106596.4"
"1","A1","6","-1675.375","107120.67"
"1","A1","7","-1591.8711","107512.82"
"1","A1","8","-1873.7705","107270.23"
"1","A1","9","-1767.1553","107559.11"
"1","A1","10","-2135.4355","108147.51"
"1","A1","11","-1871.1025","108534.195"
"1","A1","12","-1843.2754","109268.46"
"1","A1","13","-2046.1641","109398.586"
"1","A1","14","-2015.8936","109321.016"
"1","A1","15","-1761.8779","109224.74"
"1","A1","16","-1957.2598","109519.95"
"1","A1","17","-2049.5986","109711.48"
"1","A1","18","-2018.7109","110285.555"
"1","A1","19","-1869.7021","110505.086"
"1","A1","20","-2094.3096","110358.24"
"1","A1","21","-1818.416","109991.98"
"1","A1","22","-2003.3789","110527.47"
"1","A1","23","-2140.9023","110565.47"
"1","A1","24","-2020.417","110546.01"
"1","A1","25","-2116.913","110889.26"
"1","A1","26","-1988.4209","111062.19"
"1","A1","27","-2045.6143","111174.984"
"1","A1","28","-1886.5781","111266.234"
"1","A1","29","-1823.2031","111356.54"
"1","A1","30","-1691.3232","111136.16"
"1","A1","31","-2003.6299","111889.36"
"1","A1","32","-1936.9541","111517.25"
"1","A1","33","-2090.6338","111637.99"
"1","A1","34","-1837.6641","111799.37"
"1","A1","35","-1920.2812","112236.914"
"1","A1","36","-2031.0898","111985.125"
"1","A1","37","-2022.5039","111939.766"
"1","A1","38","-2069.4336","112090.83"
"1","A1","39","-1803.5078","111845.01"
"1","A1","40","-1964.8555","111772.04"
"1","A1","41","-1951.125","112081.17"
"1","A1","42","-2161.1191","112562.73"
"1","A1","43","-1872.8906","111869.5"
"1","A1","44","-1997.544","112116.72"
"1","A1","45","-1963.2168","112647.234"
"1","A1","46","-2137.3965","112824.68"
"1","A1","47","-1946.6035","112385.53"
"1","A1","48","-2045.583","112846.8"
"1","A1","49","-1942.8096","112781.95"
"1","A1","50","-1921.542","113109.15"
"1","A1","51","-1994.123","113454.58"
"1","A1","52","-2470.0918","116985.37"
"2","A2","1","-1343.8535","98429.07"
"2","A2","2","-1016.41797","94552.695"
"2","A2","3","-1019.3633","95552.89"
"2","A2","4","-900.2754","95721.516"
"2","A2","5","-1108.5576","95840.69"
"2","A2","6","-964.5674","96052.87"
"2","A2","7","-1110.9238","96102.125"
"2","A2","8","-1017.66504","96215.21"
"2","A2","9","-860.4844","96403.4"
"2","A2","10","-929.8965","96447.016"
"2","A2","11","-1159.6816","96969.695"
"2","A2","12","-1150.2754","97242.58"
"2","A2","13","-1006.26953","97245.766"
"2","A2","14","-1109.7793","97964.4"
"2","A2","15","-1144.957","98302.03"
"2","A2","16","-995.85156","97809.8"
"2","A2","17","-1166.6289","98011.62"
"2","A2","18","-972.6113","97842.695"
"2","A2","19","-1076.5137","98028.586"
"2","A2","20","-1138.7734","98383.125"
"2","A2","21","-1178.5947","98769.59"
"2","A2","22","-1067.749","98700.42"
"2","A2","23","-965.09375","98640.38"
"2","A2","24","-1040.002","98491.445"
"2","A2","25","-1201.4727","98833.42"
"2","A2","26","-1079.7188","98992.58"
"2","A2","27","-1173.2637","99060.516"
"2","A2","28","-1154.957","99104.81"
"2","A2","29","-1256.21","99121.08"
"2","A2","30","-1182.6074","99280.04"
"2","A2","31","-924.40137","99471.61"
"2","A2","32","-1199.7422","99387.29"
"2","A2","33","-1117.3398","100056.62"
"2","A2","34","-1209.5205","99794.92"
"2","A2","35","-1138.1885","99738.9"
"2","A2","36","-1199.7158","100151.64"
"2","A2","37","-1174.999","99807.11"
"2","A2","38","-1176.8926","100200.52"
"2","A2","39","-1221.6992","99726.484"
"2","A2","40","-1055.2422","100226.16"
"2","A2","41","-1153.5645","100401.03"
"2","A2","42","-1181.3926","100053.57"
"2","A2","43","-1013.2217","100262.414"
"2","A2","44","-1231.3047","100241.914"
"2","A2","45","-1197.2197","100514.664"
"2","A2","46","-1074.0771","100255.46"
