# Plate File Name: /Users/chazmanchilders/Desktop/20200420-zymo-negatives/Zymo_Negatives_2020-04-20.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 10:34:46 PM PDT
# Date Created: 2020-04-29 03:42:54 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-20 08:26:20 PM PDT
# Plate Run End Date/Time: 2020-04-20 10:20:29 PM PDT
# Run Duration: 114 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","1","2","3","4","5"
"85","H1","1","94984.29","8446.499","0.0","109.029144","1013.36456"
"86","H2","1","85302.48","8235.746","1244.8878","829.742","0.0"
"87","H3","1","4666.9873","1141.2367","783.69617","455.53998","1254.8787"
"88","H4","1","75587.805","5444.758","569.1035","136.62166","2553.057"
"89","H5","1","74215.42","5628.4663","674.0276","869.5808","2885.5413"
"90","H6","1","75959.64","5057.474","774.60626","924.59204","1400.377"
"91","H7","1","5132.3486","3517.683","4524.322","1385.9742","0.0"
"92","H8","1","68380.44","5353.248","323.98703","195.3589","2322.0396"
"93","H9","1","0.0","207.21194","195.35477","140.31348","0.0"
"94","H10","1","0.0","299.6466","98.14056","324.45","57.638504"
"95","H11","1","0.0","143.0804","158.59872","0.0","468.7667"
"96","H12","1","0.0","108.24394","122.651886","0.0","181.076"
"1","A1","1","105406.055","11348.167","1067.714","355.56842","0.0"
"2","A2","1","94532.81","9125.87","984.24176","0.0","0.0"
"3","A3","1","103566.93","8925.608","722.14886","0.0","135.07693"
"4","A4","1","68625.18","4310.362","0.0","0.0","0.0"
"5","A5","1","70286.484","4634.557","0.0","0.0","555.704"
"6","A6","1","67985.2","3763.8281","0.0","0.0","0.0"
"7","A7","1","0.0","163.94742","127.856224","0.0","1886.7247"
"8","A8","1","100364.33","8524.403","519.6802","0.0","0.0"
"9","A9","1","0.0","5.09421","134.99959","0.0","578.8585"
"10","A10","1","0.0","102.950485","104.55313","81.240616","144.9242"
"11","A11","1","0.0","150.35909","60.589115","0.0","0.0"
"12","A12","1","740.9532","90.50145","192.24608","0.0","0.0"
"13","B1","1","103123.91","8934.766","601.73126","117.132545","0.0"
"14","B2","1","102588.375","10011.419","1171.4585","236.86548","956.53424"
"15","B3","1","100041.12","8404.183","754.3997","0.0","0.0"
"16","B4","1","72975.96","4730.396","42.187244","0.0","0.0"
"17","B5","1","67034.016","4143.9243","0.0","0.0","0.0"
"18","B6","1","72599.73","4702.874","301.2164","44.395092","1967.029"
"19","B7","1","0.0","0.0","0.0","0.0","0.0"
"20","B8","1","107229.4","8010.85","500.70322","0.0","0.0"
"21","B9","1","0.0","352.2135","144.92003","183.72523","0.0"
"22","B10","1","0.0","347.96664","120.78424","9.49109","1544.9181"
"23","B11","1","0.0","540.7191","297.90698","0.0","103.427025"
"24","B12","1","0.0","0.0","0.0","0.0","0.0"
"25","C1","1","111651.82","10311.904","614.50256","464.41156","4262.2734"
"26","C2","1","98092.234","8102.9614","310.4752","0.0","0.0"
"27","C3","1","101869.72","8087.759","500.30063","0.0","0.0"
"28","C4","1","71575.516","4072.6821","4.99492","0.0","0.0"
"29","C5","1","69157.586","3914.4338","0.0","0.0","0.0"
"30","C6","1","90460.9","8816.167","3509.6082","3793.638","0.0"
"31","C7","1","0.0","246.15076","1205.598","1444.1818","0.0"
"32","C8","1","109150.55","8324.598","590.54004","0.0","0.0"
"33","C9","1","0.0","0.0","0.0","0.0","0.0"
"34","C10","1","0.0","0.0","58.99188","49.874508","688.2898"
"35","C11","1","0.0","927.7772","554.71106","300.46902","2892.609"
"36","C12","1","0.0","0.0","0.0","0.0","0.0"
"37","D1","1","105014.6","10425.848","1357.0653","0.0","0.0"
"38","D2","1","104648.734","8853.346","882.7202","0.0","0.0"
"39","D3","1","97923.22","7633.7188","811.3619","0.0","0.0"
"40","D4","1","67808.05","3646.0947","0.0","0.0","0.0"
"41","D5","1","72211.46","4250.1943","0.0","0.0","0.0"
"42","D6","1","66658.664","3456.877","0.0","0.0","0.0"
"43","D7","1","0.0","0.0","0.0","0.0","0.0"
"44","D8","1","360219.72","39979.168","17046.764","13308.459","2670.7786"
"45","D9","1","0.0","0.0","0.0","0.0","0.0"
"46","D10","1","0.0","109.8926","255.18286","225.34058","17.054712"
"47","D11","1","0.0","677.9142","29.46213","0.0","85.6488"
"48","D12","1","0.0","281.12598","105.30464","149.96106","562.4032"
"49","E1","1","103827.18","9246.82","732.96075","0.0","0.0"
"50","E2","1","102543.88","8058.8735","976.7508","0.0","0.0"
"51","E3","1","96891.78","7783.7173","837.1946","0.0","266.8854"
"52","E4","1","68321.0","3927.1804","0.0","0.0","0.0"
"53","E5","1","74725.71","4245.0796","43.665257","0.0","0.0"
"54","E6","1","69721.555","3773.9517","0.0","0.0","0.0"
"55","E7","1","0.0","0.0","0.0","0.0","0.0"
"56","E8","1","111970.1","8291.513","1019.78357","0.0","0.0"
"57","E9","1","0.0","529.3208","616.8495","3.861124","0.0"
"58","E10","1","0.0","0.0","0.0","0.0","0.0"
"59","E11","1","0.0","25.6726","25.601528","0.0","863.014"
"60","E12","1","7833.415","963.26306","615.9216","561.9291","0.0"
"61","F1","1","103483.54","9505.738","747.5786","60.2756","459.04626"
"62","F2","1","95047.99","8114.433","917.3881","314.45322","823.14703"
"63","F3","1","92828.88","7375.1504","586.97253","0.0","0.0"
"64","F4","1","70009.06","3779.0378","0.0","0.0","0.0"
"65","F5","1","72197.766","4038.596","0.0","0.0","953.9224"
"66","F6","1","72473.87","4595.9067","315.91455","0.0","0.0"
"67","F7","1","0.0","0.0","190.45532","238.19748","0.0"
"68","F8","1","100991.9","7597.815","577.9984","0.0","0.0"
"69","F9","1","0.0","0.0","32.19136","171.15617","0.0"
"70","F10","1","0.0","0.0","0.0","0.0","0.0"
"71","F11","1","18316.936","5203.7944","3639.442","3775.592","2397.0972"
"72","F12","1","0.0","368.0985","212.00113","0.0","0.0"
"73","G1","1","97264.5","9050.891","686.75696","0.0","198.8952"
"74","G2","1","100844.82","9534.007","1059.151","0.0","1607.579"
"75","G3","1","90992.74","7534.749","528.78546","0.0","42.33567"
"76","G4","1","71770.89","4171.242","0.0","0.0","0.0"
"77","G5","1","70757.23","4043.0303","0.0","0.0","0.0"
"78","G6","1","72063.88","3839.6597","0.0","0.0","0.0"
"79","G7","1","0.0","280.44925","416.8332","60.26436","0.0"
"80","G8","1","111077.82","9149.6455","1396.8745","432.68484","0.0"
"81","G9","1","0.0","0.0","0.0","0.0","0.0"
"82","G10","1","0.0","0.0","13.28736","0.0","658.0726"
"83","G11","1","0.0","529.486","150.59923","0.0","2064.6738"
"84","G12","1","0.0","271.7746","226.5564","284.1118","292.36975"
"85","H1","1","91537.94","7586.086","0.0","0.0","0.0"
"86","H2","1","80570.586","7515.793","811.2081","201.1131","0.0"
"87","H3","1","3411.623","870.81836","727.96155","322.29456","58.99972"
"88","H4","1","73963.734","5061.1816","102.75481","0.0","205.35028"
"89","H5","1","73564.96","5081.6396","398.57083","391.6229","193.4989"
"90","H6","1","73416.89","4950.6797","498.9276","905.9647","1585.9078"
"91","H7","1","8199.472","4118.502","4818.522","1760.3011","0.0"
"92","H8","1","67023.84","4440.752","0.0","0.0","640.4056"
"93","H9","1","86.465546","844.00964","715.63635","512.4925","1988.6799"
"94","H10","1","0.0","765.3624","667.12213","384.70502","1704.9469"
"95","H11","1","0.0","552.2636","371.32242","60.367683","325.39392"
"96","H12","1","0.0","13.96696","116.362045","44.48976","0.0"
"1","A1","2","106077.086","11433.702","1328.226","539.9372","0.0"
"2","A2","2","95529.95","9260.12","887.6895","0.0","0.0"
"3","A3","2","103931.69","8925.608","763.1483","0.0","2.853738"
"4","A4","2","68942.44","4394.025","0.0","0.0","0.0"
"5","A5","2","70894.734","4735.3438","0.0","0.0","1021.93713"
"6","A6","2","68516.805","3898.8247","0.0","0.0","144.39058"
"7","A7","2","0.0","10.149126","2.382414","0.0","1007.7367"
"8","A8","2","101035.28","8527.492","580.6352","0.0","0.0"
"9","A9","2","0.0","287.82288","93.395935","84.600105","982.96735"
"10","A10","2","0.0","0.0","149.63567","144.32156","0.0"
"11","A11","2","0.0","210.9354","0.0","0.0","0.0"
"12","A12","2","1297.4987","289.60464","455.93494","0.0","0.0"
"13","B1","2","104142.15","9253.079","729.99146","162.60753","0.0"
"14","B2","2","102678.07","10335.284","1112.5035","372.0576","1623.3436"
"15","B3","2","100574.266","8471.726","750.57025","0.0","0.0"
"16","B4","2","73237.12","4727.674","0.917114","0.0","0.0"
"17","B5","2","67709.86","4025.6028","0.0","0.0","0.0"
"18","B6","2","73048.45","4766.916","245.33856","0.0","1530.4935"
"19","B7","2","0.0","0.0","0.0","0.0","0.0"
"20","B8","2","107840.62","7973.8027","564.8503","0.0","0.0"
"21","B9","2","0.0","293.37115","205.80359","114.50782","0.0"
"22","B10","2","0.0","453.20996","293.87662","193.61824","1967.202"
"23","B11","2","0.0","506.07108","274.19812","0.0","455.69333"
"24","B12","2","0.0","0.0","0.0","0.0","0.0"
"25","C1","2","112008.27","10669.12","569.9544","457.7004","4433.087"
"26","C2","2","98864.91","8062.243","115.552795","0.0","0.0"
"27","C3","2","102657.97","8106.5996","351.40164","0.0","0.0"
"28","C4","2","71569.7","3995.692","0.0","31.890305","0.0"
"29","C5","2","69351.5","3976.5244","0.0","0.0","0.0"
"30","C6","2","90233.516","8973.512","3602.7307","3733.0693","0.0"
"31","C7","2","0.0","296.6638","1140.7719","1477.4386","0.0"
"32","C8","2","109022.984","8189.622","468.5996","0.0","0.0"
"33","C9","2","0.0","0.0","0.0","0.0","0.0"
"34","C10","2","0.0","0.0","0.0","123.762665","307.53372"
"35","C11","2","0.0","901.61194","486.4556","466.31934","2221.1296"
"36","C12","2","0.0","0.0","0.0","0.0","0.0"
"37","D1","2","105598.82","10444.909","1233.7908","0.0","0.0"
"38","D2","2","104367.02","8847.46","668.9007","0.0","0.0"
"39","D3","2","97661.59","7919.0522","735.59265","0.0","117.823204"
"40","D4","2","67864.97","3698.7021","0.0","0.0","0.0"
"41","D5","2","71660.56","4215.4443","0.0","0.0","0.0"
"42","D6","2","66730.8","3559.2668","0.0","0.0","0.0"
"43","D7","2","0.0","0.0","0.0","0.0","0.0"
"44","D8","2","354276.4","39336.5","16538.951","12864.987","2292.5173"
"45","D9","2","0.0","0.0","0.0","0.0","0.0"
"46","D10","2","0.0","129.78696","261.00452","131.76695","0.0"
"47","D11","2","0.0","583.8809","0.0","0.0","0.0"
"48","D12","2","0.0","418.1623","254.48622","314.2496","569.09845"
"49","E1","2","104621.57","9289.619","606.5143","0.0","0.0"
"50","E2","2","104720.17","9120.073","586.29224","0.0","0.0"
"51","E3","2","97376.62","7569.652","845.6725","0.0","179.0085"
"52","E4","2","68518.63","3855.0942","0.0","0.0","0.0"
"53","E5","2","74531.25","4130.782","0.0","0.0","0.0"
"54","E6","2","69696.766","3947.3516","0.0","0.0","0.0"
"55","E7","2","0.0","0.0","0.0","0.0","0.0"
"56","E8","2","112455.15","8481.815","1017.0569","10.765056","0.0"
"57","E9","2","0.0","380.5082","575.5294","124.52125","0.0"
"58","E10","2","0.0","0.0","0.0","46.23506","0.0"
"59","E11","2","0.0","0.0","0.0","0.0","329.75186"
"60","E12","2","7894.1606","1005.6936","578.0864","641.7144","0.0"
"61","F1","2","104351.47","9678.73","857.0793","184.9365","235.02069"
"62","F2","2","95501.414","8217.231","914.8609","310.63397","380.0131"
"63","F3","2","93633.125","7324.679","423.28748","0.0","0.0"
"64","F4","2","70558.83","3653.0366","0.0","0.0","0.0"
"65","F5","2","72105.68","3876.4326","0.0","0.0","626.3127"
"66","F6","2","72457.52","4542.4155","149.03313","0.0","0.0"
"67","F7","2","0.0","0.0","0.0","228.04176","0.0"
"68","F8","2","101612.33","7537.9243","589.4818","0.0","0.0"
"69","F9","2","0.0","0.0","57.340862","175.13655","0.0"
"70","F10","2","0.0","0.0","0.0","0.0","0.0"
"71","F11","2","18308.723","5443.617","3579.002","3675.9565","2107.032"
"72","F12","2","0.0","415.42545","307.24802","0.0","0.0"
"73","G1","2","98170.22","9389.3545","718.4746","0.0","0.0"
"74","G2","2","101237.2","9789.394","1239.8936","0.0","2374.6345"
"75","G3","2","91851.23","7548.8267","681.82715","0.0","0.0"
"76","G4","2","71386.27","4172.2153","0.0","0.0","0.0"
"77","G5","2","71009.17","4190.6064","0.0","0.0","0.0"
"78","G6","2","72057.09","4075.0977","0.0","0.0","0.0"
"79","G7","2","0.0","299.44742","395.52838","0.0","0.0"
"80","G8","2","110881.01","9183.224","1383.2179","493.3782","95.602135"
"81","G9","2","0.0","0.0","0.0","0.0","0.0"
"82","G10","2","0.0","0.0","0.0","0.0","513.3189"
"83","G11","2","0.0","518.00323","85.17497","52.0086","2329.884"
"84","G12","2","0.0","433.09534","186.0999","180.92024","243.42096"
"85","H1","2","93352.62","8004.799","0.0","0.0","0.0"
"86","H2","2","81568.82","7788.3467","763.4197","262.53085","0.0"
"87","H3","2","3237.3323","960.16364","636.9664","546.648","0.0"
"88","H4","2","74562.28","5288.2993","57.305565","0.0","448.2165"
"89","H5","2","73854.055","4989.4575","364.02805","164.65962","257.7013"
"90","H6","2","74058.836","5027.809","754.3109","873.7903","2284.8254"
"91","H7","2","7535.8657","3981.4263","4881.249","1496.4313","0.0"
"92","H8","2","67843.34","4434.2476","61.843678","0.0","783.42645"
"93","H9","2","0.0","914.76495","577.09393","531.39996","2041.3535"
"94","H10","2","0.0","681.1244","636.7453","571.2638","1746.4467"
"95","H11","2","0.0","227.324","167.40976","61.625343","441.33887"
"96","H12","2","0.0","0.0","0.0","0.0","0.0"
"1","A1","3","106550.75","11407.06","1202.4615","383.22372","0.0"
"2","A2","3","95706.64","9384.931","967.4929","0.0","0.0"
"3","A3","3","103985.234","8905.401","817.193","0.0","0.0"
"4","A4","3","69675.78","4398.2935","0.0","0.0","0.0"
"5","A5","3","71289.68","4783.2983","0.0","0.0","1079.3954"
"6","A6","3","68237.83","3729.2756","0.0","0.0","131.26416"
"7","A7","3","0.0","49.184227","36.53035","36.536465","956.07825"
"8","A8","3","101437.85","8362.255","560.31683","0.0","0.0"
"9","A9","3","0.0","189.33481","141.792","131.13016","795.6154"
"10","A10","3","0.0","121.40387","60.42979","0.0","0.0"
"11","A11","3","0.0","0.0","58.499836","0.0","0.0"
