# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"3","A3","29","20115.344","1277927.8"
"3","A3","30","33639.656","1279419.6"
"3","A3","31","53653.945","1275282.5"
"3","A3","32","76868.32","1275808.0"
"3","A3","33","98689.71","1275974.6"
"3","A3","34","115473.125","1278193.4"
"3","A3","35","126939.74","1276456.2"
"3","A3","36","133668.73","1276885.6"
"3","A3","37","138357.47","1276397.0"
"3","A3","38","140883.28","1275892.8"
"3","A3","39","143066.98","1278100.8"
"3","A3","40","145130.03","1276626.1"
"3","A3","41","146559.72","1278145.9"
"3","A3","42","148059.66","1277231.0"
"3","A3","43","149049.19","1277671.5"
"3","A3","44","150445.1","1278743.0"
"3","A3","45","151498.53","1279910.2"
"3","A3","46","152854.6","1280262.1"
"3","A3","47","153915.56","1281778.9"
"3","A3","48","155493.38","1279359.8"
"3","A3","49","156604.42","1281069.6"
"3","A3","50","157400.19","1280615.4"
"3","A3","51","158473.78","1281337.4"
"3","A3","52","155122.06","1305459.5"
"4","A4","1",,"72224.07"
"4","A4","2",,"70509.51"
"4","A4","3",,"71021.09"
"4","A4","4",,"71099.79"
"4","A4","5",,"71135.31"
"4","A4","6",,"71354.38"
"4","A4","7",,"71349.484"
"4","A4","8",,"71560.28"
"4","A4","9",,"71563.93"
"4","A4","10",,"71790.22"
"4","A4","11",,"71845.54"
"4","A4","12",,"72055.195"
"4","A4","13",,"72254.05"
"4","A4","14",,"72388.5"
"4","A4","15",,"72599.03"
"4","A4","16",,"72811.5"
"4","A4","17",,"73260.21"
"4","A4","18",,"73236.02"
"4","A4","19",,"73893.266"
"4","A4","20",,"74701.305"
"4","A4","21",,"74999.58"
"4","A4","22",,"77166.836"
"4","A4","23",,"79871.18"
"4","A4","24",,"85256.12"
"4","A4","25",,"95680.805"
"4","A4","26",,"115303.164"
"4","A4","27",,"149777.47"
"4","A4","28",,"205797.55"
"4","A4","29",,"282835.44"
"4","A4","30",,"369111.97"
"4","A4","31",,"446627.47"
"4","A4","32",,"501896.47"
"4","A4","33",,"537879.9"
"4","A4","34",,"562409.4"
"4","A4","35",,"583019.56"
"4","A4","36",,"602128.2"
"4","A4","37",,"621365.56"
"4","A4","38",,"639405.4"
"4","A4","39",,"656216.44"
"4","A4","40",,"671466.2"
"4","A4","41",,"685705.06"
"4","A4","42",,"698455.3"
"4","A4","43",,"711166.6"
"4","A4","44",,"722000.56"
"4","A4","45",,"732396.3"
"4","A4","46",,"740982.7"
"4","A4","47",,"750682.25"
"4","A4","48",,"757796.5"
"4","A4","49",,"765086.5"
"4","A4","50",,"772430.8"
"4","A4","51",,"778117.8"
"4","A4","52",,"828974.44"
"5","A5","1",,"73076.82"
"5","A5","2",,"70947.48"
"5","A5","3",,"71325.34"
"5","A5","4",,"71350.66"
"5","A5","5",,"71304.06"
"5","A5","6",,"71964.87"
"5","A5","7",,"71454.35"
"5","A5","8",,"71877.12"
"5","A5","9",,"71724.02"
"5","A5","10",,"72008.36"
"5","A5","11",,"72144.305"
"5","A5","12",,"72210.33"
"5","A5","13",,"72108.31"
"5","A5","14",,"72644.55"
"5","A5","15",,"72488.086"
"5","A5","16",,"73055.98"
"5","A5","17",,"73618.6"
"5","A5","18",,"74037.055"
"5","A5","19",,"75110.2"
"5","A5","20",,"77243.805"
"5","A5","21",,"81463.47"
"5","A5","22",,"89268.516"
"5","A5","23",,"104009.055"
"5","A5","24",,"131046.59"
"5","A5","25",,"176345.7"
"5","A5","26",,"243250.88"
"5","A5","27",,"323981.5"
"5","A5","28",,"401789.88"
"5","A5","29",,"459321.34"
"5","A5","30",,"498065.44"
"5","A5","31",,"524543.8"
"5","A5","32",,"546525.1"
"5","A5","33",,"566642.75"
"5","A5","34",,"587654.56"
"5","A5","35",,"606080.8"
"5","A5","36",,"623867.1"
"5","A5","37",,"639825.6"
"5","A5","38",,"655376.4"
"5","A5","39",,"668585.2"
"5","A5","40",,"681696.44"
"5","A5","41",,"693758.8"
"5","A5","42",,"703961.4"
"5","A5","43",,"714512.25"
"5","A5","44",,"723596.6"
"5","A5","45",,"731972.0"
"5","A5","46",,"740202.06"
"5","A5","47",,"747745.5"
"5","A5","48",,"754842.7"
"5","A5","49",,"761503.6"
"5","A5","50",,"767815.0"
"5","A5","51",,"773371.7"
"5","A5","52",,"823157.8"
"6","A6","1",,"73036.27"
"6","A6","2",,"71023.09"
"6","A6","3",,"71627.02"
"6","A6","4",,"71534.39"
"6","A6","5",,"71640.52"
"6","A6","6",,"71893.766"
"6","A6","7",,"72084.17"
"6","A6","8",,"71945.54"
"6","A6","9",,"72418.7"
"6","A6","10",,"72316.44"
"6","A6","11",,"72206.24"
"6","A6","12",,"72543.914"
"6","A6","13",,"72712.72"
"6","A6","14",,"73207.82"
"6","A6","15",,"73111.445"
"6","A6","16",,"73118.734"
"6","A6","17",,"73408.34"
"6","A6","18",,"73686.03"
"6","A6","19",,"73593.16"
"6","A6","20",,"73721.805"
"6","A6","21",,"73628.18"
"6","A6","22",,"73679.22"
"6","A6","23",,"74162.18"
"6","A6","24",,"74062.484"
"6","A6","25",,"74526.24"
"6","A6","26",,"74275.766"
"6","A6","27",,"74520.09"
"6","A6","28",,"74981.695"
"6","A6","29",,"74543.914"
"6","A6","30",,"74881.79"
"6","A6","31",,"75019.125"
"6","A6","32",,"75331.875"
"6","A6","33",,"75646.16"
"6","A6","34",,"75550.82"
"6","A6","35",,"75706.13"
"6","A6","36",,"75719.99"
"6","A6","37",,"75632.016"
"6","A6","38",,"76014.586"
"6","A6","39",,"76047.65"
"6","A6","40",,"76046.32"
"6","A6","41",,"76157.22"
"6","A6","42",,"76435.83"
"6","A6","43",,"76285.47"
"6","A6","44",,"76189.98"
"6","A6","45",,"76348.53"
"6","A6","46",,"76559.016"
"6","A6","47",,"76642.234"
"6","A6","48",,"76849.805"
"6","A6","49",,"76495.94"
"6","A6","50",,"76790.38"
"6","A6","51",,"77170.98"
"6","A6","52",,"78810.67"
"8","A8","1","8731.109","1288115.1"
"8","A8","2","10160.594","1304939.5"
"8","A8","3","10008.742","1309906.5"
"8","A8","4","9818.945","1313250.2"
"8","A8","5","9904.086","1311784.2"
"8","A8","6","9558.586","1312811.0"
"8","A8","7","9440.922","1313977.2"
"8","A8","8","9188.5","1315650.5"
"8","A8","9","9244.664","1316906.5"
"8","A8","10","9198.5625","1316470.5"
"8","A8","11","9343.3125","1316699.2"
"8","A8","12","8857.578","1319302.1"
"8","A8","13","8906.039","1320155.8"
"8","A8","14","9031.875","1319661.0"
"8","A8","15","8579.18","1322451.1"
"8","A8","16","8675.781","1321712.1"
"8","A8","17","8571.406","1323817.6"
"8","A8","18","8916.547","1321910.9"
"8","A8","19","8722.453","1321305.8"
"8","A8","20","8653.25","1325619.8"
"8","A8","21","8754.836","1326862.5"
"8","A8","22","8653.672","1327031.4"
"8","A8","23","8528.539","1329864.2"
"8","A8","24","8691.906","1331965.4"
"8","A8","25","8412.961","1335026.9"
"8","A8","26","8750.141","1336189.8"
"8","A8","27","8389.5","1347490.4"
"8","A8","28","7903.789","1367219.5"
"8","A8","29","7145.992","1401468.0"
"8","A8","30","5994.7734","1469469.2"
"8","A8","31","3392.4219","1582657.2"
"8","A8","32","-155.45312","1751933.1"
