# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Sample","Quantity","Target","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Delta Rn","Target Call","Well Call","Assessment","Omit"
"26","C2","Neg DC",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-53538.3763736264","Negative","Undetermined",,"false"
"27","C3","buffer only",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.820076416366547","26.872144612682405","0.990760656447088","0.15375283951761778","false","9000.0","false","3","15","161542.3655992445","Positive","Undetermined",,"false"
"27","C3","buffer only",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-87826.26579670339","Negative","Undetermined",,"false"
"28","C4","Neg MM",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.99222661946652","22.725694818558406","0.9887733890461217","0.3769328876481075","false","30000.0","true","3","16","754506.9987122254","Positive","Positive",,"false"
"29","C5","Neg DC",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.30394466175418","22.358725990296122","0.9892896106166246","0.41880775600948994","false","30000.0","true","3","15","720093.3211280907","Positive","Positive",,"false"
"30","C6","buffer only",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-1145.7413925185033","Negative","Negative",,"false"
"32","C8","PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","false","9000.0","false","3","15","-13647.465959821428","Negative","Undetermined",,"false"
"32","C8","PCD 4",,"nCoV","IPC","FAM","NFQ-MGB","Amp","27.810528042591997","27.8415327064415","0.8074789010193576","0.0508577126795586","false","60000.0","false","3","15","1432257.7664835164","Positive","Undetermined",,"false"
"37","D1","Neg MM",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","28.759499405710173","29.14877143948184","0.9909823233116319","0.5505137896124556","false","9000.0","false","3","15","151179.0528846154","Positive","Undetermined",,"false"
"37","D1","Neg MM",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-52533.08997252734","Negative","Undetermined",,"false"
"38","D2","buffer and PCD 4",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","26.13551567953123","27.164598228900527","0.9803568299621535","0.9128407404757404","false","9000.0","false","3","15","135220.56859546705","Positive","Undetermined",,"false"
"38","D2","buffer and PCD 4",,"nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","32.59657748755848","32.73163906360701","0.741569820287791","0.2175031607623102","false","60000.0","false","3","15","1445062.960164835","Positive","Undetermined",,"false"
"39","D3","Neg DG",,"IEC","UNKNOWN","VIC","NFQ-MGB","Amp","29.083690002996036","29.44474748558157","0.9867985773207825","0.5106123886687436","false","9000.0","false","3","15","130167.91204498627","Positive","Undetermined",,"false"
"39","D3","Neg DG",,"nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","60000.0","false","3","15","-72594.10645604387","Negative","Undetermined",,"false"
"40","D4","Neg MM",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","22.45916301765029","22.725694818558406","0.9781357377164236","0.3769328876481075","false","30000.0","true","3","17","724646.3613095238","Positive","Positive",,"false"
"41","D5","buffer and PCD 4",,"Endo","UNKNOWN","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","false","30000.0","true","3","49","-272.86233811285604","Negative","Negative",,"false"
"42","D6","Neg DG",,"Endo","UNKNOWN","FAM","NFQ-MGB","Amp","23.730817292669443","23.702850644469255","0.9876447109522943","0.039550813176529816","false","30000.0","true","3","16","743530.6388736264","Positive","Positive",,"false"
