# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","1","2","3","4","5"
"1","A1","1","1216363.1","131480.56","18432.182","802.00433","0.0"
"2","A2","1","1222448.2","123952.83","18218.818","93.11596","0.0"
"3","A3","1","1278578.5","122420.164","18614.668","328.45227","396.6696"
"4","A4","1","72418.414","4816.6094","0.0","0.0","0.0"
"5","A5","1","73198.25","5272.601","14.79393","36.194447","2817.0989"
"6","A6","1","73126.76","5371.732","261.984","0.0","1370.0697"
"7","A7","1","0.0","0.0","0.0","0.0","0.0"
"8","A8","1","1289044.8","120926.08","19666.574","143.95056","2040.0293"
"9","A9","1","17273.137","14290.958","7931.013","3334.936","1755.8989"
"10","A10","1","304.39502","1133.4265","1082.9402","941.4354","599.5884"
"11","A11","1","1416.5193","490.01917","229.82079","250.41704","0.0"
"12","A12","1","4216.4556","1165.3802","761.19055","841.20355","0.0"
"13","B1","1","1299619.9","133109.1","18764.191","599.44305","0.0"
"14","B2","1","1276228.4","124706.375","19106.893","710.59644","1051.6348"
"15","B3","1","1191542.5","109786.03","17204.717","390.44836","499.0351"
"16","B4","1","77466.305","5457.242","346.6691","0.0","542.853"
"17","B5","1","73603.945","4907.232","0.0","0.0","526.1652"
"18","B6","1","78970.77","5041.6226","260.18112","0.0","343.99"
"19","B7","1","0.0","0.0","0.0","0.0","0.0"
"20","B8","1","1334411.6","118992.74","19808.96","339.9885","410.0906"
"21","B9","1","0.0","91.625946","49.73587","0.0","0.0"
"22","B10","1","1926.4548","619.1341","952.00806","1397.0885","486.38055"
"23","B11","1","7883.0146","1510.8636","1364.8057","2355.062","1403.9451"
"24","B12","1","4323.865","529.5943","0.0","0.0","0.0"
"25","C1","1","1361557.8","136592.56","19975.92","1633.4939","4750.505"
"26","C2","1","1276115.9","120225.87","18574.82","51.87556","0.0"
"27","C3","1","1264745.8","112408.54","17902.623","101.54845","36.904095"
"28","C4","1","79366.88","4457.633","31.967487","0.0","0.0"
