# Plate File Name: /Users/chazmanchilders/Desktop/20200421-zymo-negatives/Zymo_Negatives_2020-4-21.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-21 05:39:19 PM PDT
# Date Created: 2020-04-29 03:44:35 PM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-21 02:45:30 PM PDT
# Plate Run End Date/Time: 2020-04-21 04:40:26 PM PDT
# Run Duration: 114 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","26","nCoV","1212292.375","-7268.720467032918","Neg NT","false"
"1","A1","27","nCoV","1212865.375","-8199.33241758245","Neg NT","false"
"1","A1","28","nCoV","1212830.75","-9737.569368131746","Neg NT","false"
"1","A1","29","nCoV","1212938.375","-11133.556318681276","Neg NT","false"
"1","A1","30","nCoV","1213671.5","-11904.043269230806","Neg NT","false"
"1","A1","31","nCoV","1212985.25","-14093.905219780103","Neg NT","false"
"1","A1","32","nCoV","1211795.75","-16787.017170329633","Neg NT","false"
"1","A1","33","nCoV","1212406.625","-17679.754120879163","Neg NT","false"
"1","A1","34","nCoV","1211326.25","-20263.74107142846","Neg NT","false"
"1","A1","35","nCoV","1212720.5","-20373.10302197799","Neg NT","false"
"1","A1","36","nCoV","1213744.375","-20852.83997252752","Neg NT","false"
"1","A1","37","nCoV","1210870.75","-25230.076923076816","Neg NT","false"
"1","A1","38","nCoV","1212497.5","-25106.938873626346","Neg NT","false"
"1","A1","39","nCoV","1213096.375","-26011.675824175876","Neg NT","false"
"1","A1","40","nCoV","1212243.0","-28368.662774725173","Neg NT","false"
"1","A1","41","nCoV","1212913.25","-29202.024725274703","Neg NT","false"
"1","A1","42","nCoV","1215272.375","-28346.511675824233","Neg NT","false"
"1","A1","43","nCoV","1214937.5","-30184.99862637353","Neg NT","false"
"1","A1","44","nCoV","1214793.5","-31832.61057692306","Neg NT","false"
"1","A1","45","nCoV","1215758.0","-32371.72252747259","Neg NT","false"
"1","A1","46","nCoV","1214752.625","-34880.70947802188","Neg NT","false"
"1","A1","47","nCoV","1215845.875","-35291.07142857141","Neg NT","false"
"1","A1","48","nCoV","1216132.625","-36507.93337912094","Neg NT","false"
"1","A1","49","nCoV","1215479.125","-38665.04532967024","Neg NT","false"
"1","A1","50","nCoV","1215053.375","-40594.40728021977","Neg NT","false"
"2","A2","1","IEC","-1641.3203125","760.2589285714284","Neg DC","false"
"2","A2","2","IEC","-2182.0859375","293.05739182692287","Neg DC","false"
"2","A2","3","IEC","-2251.984375","296.72304258241775","Neg DC","false"
"2","A2","4","IEC","-2713.1640625","-90.89255666208783","Neg DC","false"
"2","A2","5","IEC","-2770.109375","-74.2737809065934","Neg DC","false"
"2","A2","6","IEC","-2972.3203125","-202.92063015109898","Neg DC","false"
"2","A2","7","IEC","-2675.15625","167.80752060439545","Neg DC","false"
"2","A2","8","IEC","-2763.71875","152.80910885989033","Neg DC","false"
"2","A2","9","IEC","-3076.9375","-86.84555288461524","Neg DC","false"
"2","A2","10","IEC","-3307.4375","-243.78146462912082","Neg DC","false"
"2","A2","11","IEC","-3201.015625","-63.795501373626394","Neg DC","false"
"2","A2","12","IEC","-3346.7109375","-135.92672561813197","Neg DC","false"
"2","A2","13","IEC","-3301.4609375","-17.112637362637543","Neg DC","false"
"2","A2","14","IEC","-3324.703125","33.20926339285688","Neg DC","false"
"2","A2","15","IEC","-3166.4765625","264.99991414835176","Neg DC","false"
"2","A2","16","IEC","-3152.96875","352.0718149038462","Neg DC","false"
"2","A2","17","IEC","-3603.6328125","-25.028159340659386","Neg DC","false"
"2","A2","18","IEC","-3375.125","277.0437414148355","Neg DC","false"
"2","A2","19","IEC","-3684.828125","40.90470467032992","Neg DC","false"
"2","A2","20","IEC","-3275.734375","523.5625429258243","Neg DC","false"
"2","A2","21","IEC","-3935.0703125","-62.20930631868123","Neg DC","false"
"2","A2","22","IEC","-3545.578125","400.8469694368132","Neg DC","false"
