# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Cycle Number","VIC","FAM"
"3","A3","28","7261.7393","1099405.9"
"3","A3","29","7023.5728","1103033.1"
"3","A3","30","7165.4824","1102415.1"
"3","A3","31","7009.7476","1107285.5"
"3","A3","32","6979.6646","1112350.2"
"3","A3","33","6782.5234","1120246.6"
"3","A3","34","5946.027","1144253.9"
"3","A3","35","5082.351","1182222.4"
"3","A3","36","3403.7854","1252742.0"
"3","A3","37","322.08545","1366445.0"
"3","A3","38","-3431.984","1519861.1"
"3","A3","39","-7171.6646","1675591.5"
"3","A3","40","-10583.137","1798159.4"
"3","A3","41","-12087.375","1871216.5"
"3","A3","42","-13259.445","1912952.0"
"3","A3","43","-13874.377","1938919.6"
"3","A3","44","-14203.405","1957255.4"
"3","A3","45","-14144.528","1967759.5"
"3","A3","46","-14754.137","1983049.6"
"3","A3","47","-15243.6","1995350.5"
"3","A3","48","-15036.316","2001988.8"
"3","A3","49","-15324.733","2012619.4"
"3","A3","50","-16307.302","2022890.6"
"3","A3","51","-15984.483","2029197.4"
"3","A3","52","-16140.723","2031885.5"
"4","A4","1",,"71070.805"
"4","A4","2",,"69429.195"
"4","A4","3",,"70148.68"
"4","A4","4",,"70252.95"
"4","A4","5",,"70223.64"
"4","A4","6",,"70431.72"
"4","A4","7",,"70272.59"
"4","A4","8",,"70500.81"
"4","A4","9",,"70651.04"
"4","A4","10",,"71056.41"
"4","A4","11",,"70884.95"
"4","A4","12",,"70910.99"
"4","A4","13",,"71280.72"
"4","A4","14",,"71133.19"
"4","A4","15",,"71316.76"
"4","A4","16",,"71465.305"
"4","A4","17",,"72076.89"
"4","A4","18",,"72094.49"
"4","A4","19",,"72267.66"
"4","A4","20",,"73414.36"
"4","A4","21",,"74011.24"
"4","A4","22",,"76725.82"
"4","A4","23",,"80683.44"
"4","A4","24",,"88921.63"
"4","A4","25",,"103668.336"
"4","A4","26",,"131255.53"
"4","A4","27",,"178194.19"
"4","A4","28",,"247611.9"
"4","A4","29",,"329442.7"
"4","A4","30",,"405983.3"
"4","A4","31",,"463897.7"
"4","A4","32",,"501629.94"
"4","A4","33",,"525889.2"
"4","A4","34",,"544507.75"
"4","A4","35",,"561481.0"
"4","A4","36",,"577774.25"
"4","A4","37",,"593769.75"
"4","A4","38",,"608774.56"
"4","A4","39",,"623521.9"
"4","A4","40",,"636515.06"
"4","A4","41",,"649504.06"
"4","A4","42",,"661319.5"
"4","A4","43",,"671762.0"
"4","A4","44",,"682844.94"
"4","A4","45",,"691697.6"
"4","A4","46",,"699859.6"
"4","A4","47",,"707635.4"
"4","A4","48",,"715405.2"
"4","A4","49",,"721904.75"
"4","A4","50",,"727963.3"
"4","A4","51",,"734689.3"
"4","A4","52",,"739175.1"
"5","A5","1",,"78813.22"
"5","A5","2",,"76782.38"
"5","A5","3",,"77561.36"
"5","A5","4",,"77689.516"
"5","A5","5",,"77537.32"
"5","A5","6",,"77780.95"
"5","A5","7",,"77871.02"
"5","A5","8",,"78165.49"
"5","A5","9",,"78137.9"
"5","A5","10",,"78119.125"
"5","A5","11",,"78149.664"
"5","A5","12",,"78405.516"
"5","A5","13",,"78422.91"
"5","A5","14",,"78816.42"
"5","A5","15",,"78888.89"
"5","A5","16",,"78770.12"
"5","A5","17",,"79350.42"
"5","A5","18",,"79391.33"
"5","A5","19",,"80100.586"
"5","A5","20",,"81088.0"
"5","A5","21",,"82752.27"
"5","A5","22",,"85792.81"
"5","A5","23",,"91656.27"
"5","A5","24",,"102811.12"
"5","A5","25",,"123751.11"
"5","A5","26",,"160693.95"
"5","A5","27",,"221200.75"
"5","A5","28",,"304731.22"
"5","A5","29",,"398240.44"
"5","A5","30",,"479915.22"
"5","A5","31",,"537002.8"
"5","A5","32",,"575798.8"
"5","A5","33",,"602291.8"
"5","A5","34",,"625144.6"
"5","A5","35",,"647855.2"
"5","A5","36",,"669356.0"
"5","A5","37",,"689346.2"
"5","A5","38",,"708205.7"
"5","A5","39",,"724938.2"
"5","A5","40",,"740863.25"
"5","A5","41",,"754344.0"
"5","A5","42",,"767764.56"
"5","A5","43",,"779945.75"
"5","A5","44",,"790804.0"
"5","A5","45",,"800775.7"
"5","A5","46",,"809876.06"
"5","A5","47",,"818471.1"
"5","A5","48",,"826433.0"
"5","A5","49",,"834461.06"
"5","A5","50",,"840070.6"
"5","A5","51",,"847044.56"
"5","A5","52",,"851803.2"
"6","A6","1",,"71773.62"
"6","A6","2",,"69467.77"
"6","A6","3",,"69956.17"
"6","A6","4",,"69813.586"
"6","A6","5",,"70121.12"
"6","A6","6",,"70610.33"
"6","A6","7",,"70472.086"
"6","A6","8",,"70555.336"
"6","A6","9",,"70576.95"
"6","A6","10",,"70654.45"
"6","A6","11",,"70869.66"
"6","A6","12",,"71138.68"
"6","A6","13",,"71188.086"
"6","A6","14",,"71432.64"
"6","A6","15",,"71265.3"
"6","A6","16",,"71638.4"
"6","A6","17",,"71829.12"
