# Plate File Name: /Users/chazmanchilders/Desktop/20200418-zymo-lod/Zymo_LOD_1x_2020-04-18_Copy.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-04-20 09:59:51 AM PDT
# Date Created: 2020-04-20 09:46:05 AM PDT
# Barcode: 
# Instrument Type: 7500 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Plate Run Start Date/Time: 2020-04-18 07:08:17 PM PDT
# Plate Run End Date/Time: 2020-04-18 09:00:39 PM PDT
# Run Duration: 112 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: Stage 1, Step 1
# Post-read Stage/Step: Stage 4, Step 1
# Passive Reference: null
# Quantification Cycle Method: CT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"28","C4","false","Spike-In WC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.734468038464764","","","23.055468851798544","0.9929468349676671","23.094244990998877","0.4994873092070615","false","30000.0","true","3","14"
"29","C5","false","Spike-In WC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.757913832183091","","","23.611990242076757","0.9842696951814568","23.094244990998877","0.4994873092070615","false","30000.0","true","3","16"
"30","C6","false","Spike-In WC","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.737319904421255","","","22.615275879121334","0.9920529133484173","23.094244990998877","0.4994873092070615","false","30000.0","true","3","12"
"32","C8","false","Water","Endo","NTC","FAM","NFQ-MGB","Amp","2.545055201936831","","","38.132898824709365","0.9626401491169426","38.132898824709365","","false","30000.0","true","3","29"
"37","D1","false","Spike-In MM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.206330479714081","","","36.94164615011814","0.9457016652455925","35.16600728893857","2.5111325593568377","false","13336.662","true","3","27"
"37","D1","false","Spike-In MM","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.830713473915616","","","36.03107606810242","0.7091098452694587","35.11261996344332","1.2988930796532292","false","60000.0","true","3","30"
"38","D2","false","No Spike-In","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.370089083839884","","","34.07607959646083","0.9791185735272331","34.924401145713745","1.7667402105439853","false","13336.662","true","3","27"
"38","D2","false","No Spike-In","nCoV","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","60000.0","true","3","49"
"39","D3","false","Spike-In MM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.3709270770432633","","","33.390368427759014","0.9662763540835035","35.16600728893857","2.5111325593568377","false","13336.662","true","3","23"
"39","D3","false","Spike-In MM","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.856519028687837","","","34.19416385878422","0.8996772264825156","35.11261996344332","1.2988930796532292","false","60000.0","true","3","29"
"40","D4","false","Spike-In MM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7634826426429595","","","22.764176595197263","0.9825390049938499","22.59462137610716","0.23978729040850877","false","30000.0","true","3","14"
"41","D5","false","No Spike-In","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7558333095062446","","","22.79237335846549","0.9875728674374515","23.117292101250353","0.4352826417368713","false","30000.0","true","3","16"
"42","D6","false","Spike-In MM","Endo","UNKNOWN","FAM","NFQ-MGB","Amp","2.7590686529034016","","","22.425066157017056","0.985729663768426","22.59462137610716","0.23978729040850877","false","30000.0","true","3","14"
"49","E1","false","Spike-In CM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.1863172030098164","","","38.343115001751364","0.8753432843328485","36.64463154128075","1.6533465168058052","false","13336.662","true","3","30"
"49","E1","false","Spike-In CM","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.846399398126994","","","36.246055402916156","0.6626118405788171","34.957799888684434","1.1190549564237473","false","60000.0","true","3","31"
"50","E2","false","Spike-In CM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.1963474807283228","","","36.5503203744188","0.9432298373607856","36.64463154128075","1.6533465168058052","false","13336.662","true","3","29"
"50","E2","false","Spike-In CM","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8440057945853807","","","34.226595768327996","0.7507659602579801","34.957799888684434","1.1190549564237473","false","60000.0","true","3","28"
"51","E3","false","Spike-In CM","IEC","UNKNOWN","VIC","NFQ-MGB","Amp","2.2807862977236444","","","35.040459247672075","0.9696757805334971","36.64463154128075","1.6533465168058052","false","13336.662","true","3","26"
"51","E3","false","Spike-In CM","nCoV","UNKNOWN","FAM","NFQ-MGB","Amp","2.8605176919090565","","","34.40074849480915","0.7599134036764875","34.957799888684434","1.1190549564237473","false","60000.0","true","3","28"
